状态包ID,状态模板名称,buff伤害动画时间点,buff添加动画时间点,buff动画删除时间点,状态显示名称,是否显示状态图标,状态图标或持续特效,状态挂点,状态伤害特效,状态添加特效,状态消失特效,状态描述,状态类型,概率,生效条件,状态效果ID,数据,同状态ID叠加覆喂规则,状态包结束条件,生效次数,持续回合数M,buff添加特效挂点,buff伤害特效挂点,击中效果提示,
id,modelName,damageTimeType,addTimeType,removeTimeType,name,,icon,positon,damageEff,addEff,disappearEff,des,,,,,,,,,unkown,addPosition,damagePosition,hitTipEffect,
1,治疗,2,2,,治疗,0,,1,,,,我是加血的技能,Buff,10000,1,9,data = 1000,1,1,1,,,,,
2,婄壁,2,2,1,婄壁,1,,1,,,,我是婄壁的技能,Buff,10000,1,3,,1,2,,1|10000,,,,
3,一般概率眩艞,2,2,1,眩艞,1,,1,,,,"眩艞技能的笱思为在角色行动前硐动，跳过该角色的行动回合
3000%概率生效",debuff,5000,1,1,,1,2,,1|10000,,,,
4,毒,3,2,3,毒,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,7,51,data = 10,3,2,,"1|10000, 3|5000, 5|3000",,,,
5,直接生效毒,2,2,,毒1,0,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,1,51,data = -333,1,1,1,,,,,
6,击中生效毒,2,2,1,毒2,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,2,51,data = -333,1,1,1,,,,,
7,被伤血後生效毒,2,2,1,毒3,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,4,51,data = -333,1,1,1,,,,,
8,行动回合前毒,1,2,1,毒4,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,6,51,data = -333,1,2,,1|10000,,,,
9,行动回合後毒,3,2,3,毒5,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,7,51,data = -333,1,1,1,,,,,
10,普通攻击毒,2,2,1,毒6,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,8,51,data = -333,1,1,1,,,,,
11,怒气攻击毒,2,2,1,毒7,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,9,51,data = -333,1,1,1,,,,,
12,被普通攻击毒,2,2,1,毒8,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,10,51,data = -333,1,1,1,,,,,
13,被怒气攻击毒,2,2,1,毒9,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,11,51,data = -333,1,1,1,,,,,
14,概率直接生效毒,2,2,1,毒10,0,,,,,,,debuff,5000,1,51,data = -333,1,1,1,,,,,
15,被动生效,1,1,,,0,,,,,,,被动,10000,1,13,data = 400,4,3,,,,,,
16,脱力状态,2,2,1,脱力,1,,2,,,,,debuff,3500,1,7,,1,2,,3|10000,,,,
17,无敌状态,2,1,1,无敌,1,,3,,,,,Buff,10000,1,6,,4,2,,1|10000,,,,
18,沉默状态,2,2,1,沉默,1,,1,,,,,Buff,10000,1,2,,4,2,,1|10000,,,,
19,坚韧状态,2,1,1,坚韧,1,,1,,,,,Buff,10000,1,4,,4,2,,1|10000,,,,
20,魔免状态,2,1,1,魔免,1,,1,,,,,Buff,10000,1,5,,4,2,,1|10000,,,,
21,连续战法145,2,2,,,0,,,,,,,Buff,10000,1,28,data = 145,1,1,1,,,,,
22,剧毒状态,3,2,1,剧毒,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,7,9,data = -defender.currHp * 0.1,1,2,,5|10000,,,,
23,毒咒状态,3,2,1,剧毒,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,3500,7,9,data = -defender.currHp * 0.1,1,2,,3|10000,,,,
24,吸血状态,2,2,,吸血,0,,,,,,,Buff,10000,1,9,data = 388,1,1,1,,,,,
25,狙击状态,2,2,1,狙击,1,,1,,,,,Buff,10000,1,30,data = 20000,1,2,,1|10000,,,,
26,鼓舞45怒气,2,2,,,0,,,,,,,Buff,10000,1,28,data = 45,1,1,1,,,,,
27,反扑状态,2,2,1,反扑,1,,1,,,,,Buff,10000,1,31,data = 5000,1,2,,2|10000,,,,
28,东风25怒气,2,2,,,0,,,,,,,Buff,10000,1,28,data =25,1,1,1,,,,,
29,守护状态,2,2,1,守护,1,,1,,,,,Buff,10000,1,22,data = 1000,1,2,,2|10000,,,,
30,自爆状态,2,2,,自爆,0,,1,,,,,debuff,10000,1,9,data = -99999,1,1,1,,,,,
31,眩艞,2,2,1,眩艞,1,,1,,,,眩艞技能的笱思为在角色行动前硐动，跳过该角色的行动回合,debuff,10000,1,1,,1,2,,1|10000,,,,
32,概率婄壁,2,2,1,婄壁,1,,1,,,,我是婄壁的技能,Buff,9900,1,3,,1,2,,1|10000,,,,
33,底力状态,3,1,,底力,1,,1,,,,毒血越少攻击力越高,被动,10000,4,13,data = (1-attacker.currHp/attacker.currMaxHp) * 1000,4,3,,,,,,
34,30%不屈状态,3,1,,底力,1,,1,,,,毒血越少攻击力越高,被动,10000,4,13,"if attacker.currHp/attacker.currMaxHp<0.3 then  
    data = (1-attacker.currHp/attacker.currMaxHp) * 1000 
else data = 0
end",4,3,,,,,,
35,调整最大生命值点数10000,1,1,,,0,,,,,,调整最大生命值点数,被动,10000,1,8,data=10000,4,3,,,,,,
36,力量值点数999,1,1,,,0,,,,,,力量值点数,被动,10000,1,10,data=999,4,3,,,,,,
37,敏捷值点数999,1,1,,,0,,,,,,敏捷值点数,被动,10000,1,11,data=999,4,3,,,,,,
38,调整智慧值点数999,1,1,,,0,,,,,,调整智慧值点数,被动,10000,1,12,data=999,4,3,,,,,,
39,物理攻击固定值1000,1,1,,,0,,,,,,物理攻击固定值,被动,10000,1,13,data=1000,4,3,,,,,,
40,物理攻击百分比加成10000,1,1,,,0,,,,,,物理攻击百分比加成,被动,10000,1,14,data=10000,4,3,,,,,,
41,物理攻击伤害倍率10000,1,1,,,0,,,,,,物理攻击伤害倍率,被动,10000,1,15,data=10000,4,3,,,,,,
42,必杀攻击固定值1000,1,1,,,0,,,,,,必杀攻击固定值,被动,10000,1,16,data=1000,4,3,,,,,,
43,必杀攻击百分比加成10000,1,1,,,0,,,,,,必杀攻击百分比加成,被动,10000,1,17,data=10000,4,3,,,,,,
44,必杀攻击伤害倍率10000,1,1,,,0,,,,,,必杀攻击伤害倍率,被动,10000,1,18,data=10000,4,3,,,,,,
45,魔法攻击固定值1000,1,1,,,0,,,,,,魔法攻击固定值,被动,10000,1,19,data=1000,4,3,,,,,,
46,魔法攻击百分比加成10000,1,1,,,0,,,,,,魔法攻击百分比加成,被动,10000,1,20,data=10000,4,3,,,,,,
47,魔法攻击伤害倍率10000,1,1,,,0,,,,,,魔法攻击伤害倍率,被动,10000,1,21,data=10000,4,3,,,,,,
48,物理防御百分比加成10000,1,1,,,0,,,,,,物理防御百分比加成,被动,10000,1,23,data=10000,4,3,,,,,,
49,必杀防御固定值500,1,1,,,0,,,,,,必杀防御固定值,被动,10000,1,24,data=500,4,3,,,,,,
50,必杀防御百分比加成1000,1,1,,,0,,,,,,必杀防御百分比加成,被动,10000,1,25,data=1000,4,3,,,,,,
51,魔法防御固定值500,1,1,,,0,,,,,,魔法防御固定值,被动,10000,1,26,data=500,4,3,,,,,,
52,魔法防御百分比加成10000,1,1,,,0,,,,,,魔法防御百分比加成,被动,10000,1,27,data=10000,4,3,,,,,,
53,调整命中值-9000,1,1,,,0,,,,,,调整命中值,被动,10000,1,29,data=-9999999,4,3,,,,,,
54,调整致命一击率99999,1,1,,,0,,,,,,调整致命一击率,被动,10000,1,30,data=99999,4,3,,,,,,
55,调整格挡率99999,1,1,,,0,,,,,,调整格挡率,被动,10000,1,31,data=99999,4,3,,,,,,
56,调整风属性攻击500,1,1,,,0,,,,,,调整风属性攻击,被动,10000,1,32,data=500,4,3,,,,,,
57,调整雷属性攻击500,1,1,,,0,,,,,,调整雷属性攻击,被动,10000,1,33,data=500,4,3,,,,,,
58,调整水属性攻击500,1,1,,,0,,,,,,调整水属性攻击,被动,10000,1,34,data=500,4,3,,,,,,
59,调整火属性攻击500,1,1,,,0,,,,,,调整火属性攻击,被动,10000,1,35,data=500,4,3,,,,,,
60,风属性攻击百分比加成20000,1,1,,,0,,,,,,风属性攻击百分比加成,被动,10000,1,36,data=20000,4,3,,,,,,
61,雷属性攻击百分比加成20000,1,1,,,0,,,,,,雷属性攻击百分比加成,被动,10000,1,37,data=20000,4,3,,,,,,
62,水属性攻击百分比加成20000,1,1,,,0,,,,,,水属性攻击百分比加成,被动,10000,1,38,data=20000,4,3,,,,,,
63,火属性攻击百分比加成20000,1,1,,,0,,,,,,火属性攻击百分比加成,被动,10000,1,39,data=20000,4,3,,,,,,
64,调整风属性抗性10000,1,1,,,0,,,,,,调整风属性抗性,被动,10000,1,40,data=10000,4,3,,,,,,
65,调整雷属性抗性10000,1,1,,,0,,,,,,调整雷属性抗性,被动,10000,1,41,data=10000,4,3,,,,,,
66,调整水属性抗性10000,1,1,,,0,,,,,,调整水属性抗性,被动,10000,1,42,data=10000,4,3,,,,,,
67,调整火属性抗性10000,1,1,,,0,,,,,,调整火属性抗性,被动,10000,1,43,data=10000,4,3,,,,,,
68,调整闪避值5000,1,1,,,0,,,,,,调整闪避值,被动,10000,1,44,data=5000,4,3,,,,,,
69,调整最终伤害8888,1,1,,,0,,,,,,调整最终伤害,被动,10000,1,45,data=8888,4,3,,,,,,
70,调整减免最终伤害8888,1,1,,,0,,,,,,调整减免最终伤害,被动,10000,1,46,data=8888,4,3,,,,,,
71,调整怒气获得倍率20000,1,1,,,0,,,,,,调整怒气获得倍率,被动,10000,1,47,data=20000,4,3,,,,,,
72,1级眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
1级眩艞30%概率",debuff,2500,1,1,,1,2,,1|10000,,,,
73,2级眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
2级眩艞60%概率",debuff,5000,1,1,,1,2,,1|10000,,,,
74,3级眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
3级眩艞90%概率",debuff,7500,1,1,,1,2,,1|10000,,,,
75,4级眩艞,2,2,1,眩艞,1,beffect_4,1,,,,"眩艞技能的笱思为在角色行动前硐动，
4级眩艞100%概率",debuff,10000,1,1,,1,2,,1|10000,,,,
76,1级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方25怒气,debuff,10000,1,28,data=-25,1,1,1,,3,1,meffect_38,
77,2级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方50怒气,debuff,10000,1,28,data=-50,1,1,1,,3,1,meffect_38,
78,3级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方75怒气,debuff,10000,1,28,data=-75,1,1,1,,3,1,meffect_38,
79,4级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方100怒气,debuff,10000,1,28,data=-100,1,1,1,,3,1,meffect_38,
80,5级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方125怒气,debuff,10000,1,28,data=-125,1,1,1,,3,1,meffect_38,
81,6级怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,减少对方150怒气,debuff,10000,1,28,data=-150,1,1,1,,3,1,meffect_38,
