技能ID,技能模板名称,技能显示名称,技能图标,施法地点,翨道皮肤路径,技能释放动作ID,技能释放特效,是否全屏特效,技能打击效果特效路径,技能打击特效挂点,技能击中效果特效路径,目标是否播放受伤动作,空格可否播放特效,是否固定地点播放,特效显示顺序,前台技能效果类型,技能显示类型,技能描述,释放方式,技能类型,技能耗魔,昐围ID,是否增加怒气,施法者怒气获得基础值,施法者怒气获得修正值,施法者怒气获得倍率,被打者怒气获得基础值,被打者怒气获得修正值,被打者怒气获得倍率,是否跳过命中判定,是否跳过致命判定,是否跳过格挡判定,是否跳过伤害过程,输出通道,属性输出通道,物理基础攻击修正值,物理攻击百分比修正值,物理攻击伤害倍率,必杀基础攻击修正值,必杀攻击百分比修正值,必杀攻击伤害倍率,魔法基础攻击修正值,魔法攻击百分比修正值,魔法攻击伤害倍率,风属性基础攻击修正值,风属性攻击伤害倍率,雷属性基础攻击修正值,雷属性攻击伤害倍率,水属性基础攻击修正值,水属性攻击伤害倍率,火属性基础攻击修正值,火属性攻击伤害倍率,技能最终伤害值加成,技能修正致命一击率,技能修正命中率,多踥伤害系数,次数限制,技能硐动权重,技能冷却回合,状态包ID X,删除状态包IDX,复合技能IDX,释放概率,是否享受怒气加成,技能目标昐围图片,怒气技能类型,技能提示,击中效果提示
id,modelName,name,icon,mpostionType,distancePath,actionid,skillEffect,fullScreen,attackEffct,attackEffctPosition,hitEffct,showDamageAction,skipAble,isFix,effectOder,meffectType,mattackNumberType,des,functionWay,class,magicCost,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skillWeight,,,,isComplexSkill,,,skillRangeImg,Ragetype,skillTip,hitTipEffect
1,普通物理攻击,,,1,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,1,25,,,25,,,0,0,0,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
2,通用普通格挡技能（近程）,,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,近战通用的普通攻击,1,物理攻击,,7,0,,,,,,,1,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
3,通用普通格挡技能（远程）,,,2,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,远程通用的普通攻击,1,物理攻击,,7,0,,,,,,,1,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
4,通用普通攻击技能（近程）,,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,近战通用的普通攻击,1,物理攻击,,7,1,25,,,25,,,0,0,0,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
5,通用普通攻击技能（远程）,,,2,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,远程通用的普通攻击,1,物理攻击,,7,1,25,,,25,,,0,0,0,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
6,通用混乱攻击技能（近程）,,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,近战通用的混乱普通攻击,1,物理攻击,,20,0,,,,,,,0,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
7,通用混乱攻击技能（远程）,,,2,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,远程通用的混乱普通攻击,1,物理攻击,,20,0,,,,,,,0,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
8,通用魅惑攻击技能（近程）,,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,近战通用的魅惑普通攻击,1,物理攻击,,21,0,,,,,,,0,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
9,通用魅惑攻击技能（远程）,,,2,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,远程通用的魅惑普通攻击,1,物理攻击,,21,0,,,,,,,0,0,1,0,1,"4,5,6,7",,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.png,,,
100,被动技能——底力,底力,,,,,,,,,,,,,,,,血越少，攻击越高,3,被动技能,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,1.png,,,
101,被动技能——不屈,不屈,,,,,,,,,,,,,,,,血越少，攻击越高,3,被动技能,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,1.png,,,
139,主船技能_基础炮击1,基础炮击1,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,200,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,1.png,,,
