[20250806 01:19:18 638971][2073323296][FATAL][main.cpp:336]lcserver started with arguments:
--backlog-num=50
--business-timeout=30000
--connect-timeout=2000
--heartbeat-interval=60
--log-filename=log/game20002.log
--log-level=2
--max-request-size=1024000
--max-response-size=1024000
--private-service-num=1
--private-network-num=1
--private-addr=127.0.0.1
--private-port=8002
--public-service-num=5
--public-network-num=5
--public-addr=192.168.1.234
--public-port=8002
--read-timeout=30000
--write-timeout=30000
--config-file=conf/game20002.xml
--mess-code=BabelTime
--backend-port=5555
--policy-file=conf/crossdomain.xml
--flush-log=false
--max-idle-time=86400000
--backend-file=/home/pirate/rpcfw/lib/index.php
--max-request-per-second=40

[20250806 01:19:18 645759][2073323296][FATAL][TaskService.cpp:95]task started
[20250806 01:19:35 111311][2885678848][INFO][192.168.1.1:63741][Connection.cpp:512]TOKEN_CONSUME, method:user.login, token:0
[20250806 01:19:35 111514][0345782016][INFO][192.168.1.1:63741][logid:0][FastCGICommand.cpp:90]BACKEND_INFO, method:user.login, backend:127.0.0.1
[20250806 01:19:35 125754][2214590208][INFO][127.0.0.1:49756][PrivateCommand.cpp:384]dispatch private method:getTotalCount
[20250806 01:19:35 125830][1409283840][NOTICE][127.0.0.1:49756][Connection.cpp:1079]request cost:0.000081, size:0
[20250806 01:19:35 130073][2885678848][NOTICE][192.168.1.1:63741][logid:0][Connection.cpp:1079]request cost:0.018714, size:59
[20250806 01:19:35 135398][2885678848][INFO][192.168.1.1:63741][Connection.cpp:506]TOKEN_IGNORE, method:user.getUsers, token:5497835210
[20250806 01:19:35 135524][0345782016][INFO][192.168.1.1:63741][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getUsers, backend:127.0.0.1
[20250806 01:19:35 144746][2885678848][NOTICE][192.168.1.1:63741][Connection.cpp:1079]request cost:0.009319, size:63
[20250806 01:19:35 291726][2885678848][INFO][192.168.1.1:63741][Connection.cpp:506]TOKEN_IGNORE, method:user.getRandomName, token:5497835220
[20250806 01:19:35 291892][0345782016][INFO][192.168.1.1:63741][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getRandomName, backend:127.0.0.1
[20250806 01:19:35 329211][2885678848][NOTICE][192.168.1.1:63741][Connection.cpp:1079]request cost:0.037430, size:479
[20250806 01:20:03 419936][2885678848][INFO][192.168.1.1:63741][Connection.cpp:506]TOKEN_IGNORE, method:user.getRandomName, token:5497835230
[20250806 01:20:03 420665][0345782016][INFO][192.168.1.1:63741][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getRandomName, backend:127.0.0.1
[20250806 01:20:03 430517][2885678848][NOTICE][192.168.1.1:63741][Connection.cpp:1079]request cost:0.010539, size:497
[20250806 01:20:07 251697][2885678848][INFO][192.168.1.1:63741][Connection.cpp:512]TOKEN_CONSUME, method:user.createUser, token:5497835200
[20250806 01:20:07 251860][0345782016][INFO][192.168.1.1:63741][logid:5497835200][FastCGICommand.cpp:90]BACKEND_INFO, method:user.createUser, backend:127.0.0.1
[20250806 01:20:07 308136][2885678848][NOTICE][192.168.1.1:63741][logid:5497835200][Connection.cpp:1079]request cost:0.056396, size:64
[20250806 01:20:07 312779][2885678848][INFO][192.168.1.1:63741][Connection.cpp:506]TOKEN_IGNORE, method:user.getUsers, token:6522380440
[20250806 01:20:07 312881][0345782016][INFO][192.168.1.1:63741][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getUsers, backend:127.0.0.1
[20250806 01:20:07 332895][2885678848][NOTICE][192.168.1.1:63741][Connection.cpp:1079]request cost:0.020088, size:204
[20250806 01:20:07 340749][2885678848][INFO][192.168.1.1:63741][Connection.cpp:512]TOKEN_CONSUME, method:user.userLogin, token:6522380400
[20250806 01:20:07 340866][0345782016][INFO][192.168.1.1:63741][logid:6522380400][FastCGICommand.cpp:90]BACKEND_INFO, method:user.userLogin, backend:127.0.0.1
[20250806 01:20:07 346298][2214590208][INFO][127.0.0.1:49756][PrivateCommand.cpp:384]dispatch private method:checkUser
[20250806 01:20:07 346374][1409283840][NOTICE][127.0.0.1:49756][Connection.cpp:1079]request cost:0.000080, size:0
[20250806 01:20:07 466007][0345782016][INFO][192.168.1.1:63741][logid:6522380400][PrivateCommand.cpp:384]dispatch private method:addListener
[20250806 01:20:07 466020][0345782016][INFO][192.168.1.1:63741][logid:6522380400][PrivateCommand.cpp:384]dispatch private method:addConnection
[20250806 01:20:07 466117][2885678848][NOTICE][192.168.1.1:63741][logid:6522380400][Connection.cpp:1079]request cost:0.125339, size:89
[20250806 01:20:07 468911][2885678848][INFO][192.168.1.1:63741][Connection.cpp:506]TOKEN_IGNORE, method:user.getSwitch, token:3588679650
[20250806 01:20:07 469058][0345782016][INFO][192.168.1.1:63741][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getSwitch, backend:127.0.0.1
[20250806 01:20:07 477379][2885678848][NOTICE][192.168.1.1:63741][Connection.cpp:1079]request cost:0.008439, size:83
[20250806 01:20:07 479310][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getUser, token:3588679660
[20250806 01:20:07 479449][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getUser, backend:127.0.0.1
[20250806 01:20:07 526864][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.047529, size:1044
[20250806 01:20:07 798589][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:city.checkEnter, token:3588679670
[20250806 01:20:07 798761][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:city.checkEnter, backend:127.0.0.1
[20250806 01:20:07 819119][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.020483, size:89
[20250806 01:20:07 819148][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:achievements.getKeepOnlineAchievements, token:3588679680
[20250806 01:20:07 819270][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:achievements.getKeepOnlineAchievements, backend:127.0.0.1
[20250806 01:20:07 834082][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.014909, size:94
[20250806 01:20:07 834120][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:achievements.getLastOnlineAchievements, token:3588679690
[20250806 01:20:07 834391][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:achievements.getLastOnlineAchievements, backend:127.0.0.1
